1 [40, 82, 8]
1 [40, 69, 8]
1 [112, 82, 69]
1 [112, 82, 8]
1 [112, 69, 8]
1 [82, 69, 8]
1 [18, 114, 43]
1 [18, 114, 74]
1 [18, 114, 95]
1 [18, 43, 74]
1 [18, 43, 95]
1 [18, 74, 95]
1 [114, 43, 74]
1 [114, 43, 95]
1 [114, 74, 95]
1 [43, 74, 95]
1 [47, 139, 147]
1 [47, 139, 109]
1 [47, 139, 77]
1 [47, 147, 109]
1 [47, 147, 77]
1 [47, 109, 77]
1 [139, 147, 109]
1 [139, 147, 77]
1 [139, 109, 77]
1 [147, 109, 77]
1 [121, 130, 76]
1 [121, 130, 45]
1 [121, 130, 20]
1 [121, 76, 45]
1 [121, 76, 20]
1 [121, 45, 20]
1 [130, 76, 45]
1 [130, 76, 20]
1 [130, 45, 20]
1 [76, 45, 20]
1 [72, 51, 117]
1 [72, 51, 6]
1 [72, 51, 135]
1 [72, 117, 6]
1 [72, 117, 135]
1 [72, 6, 135]
1 [51, 117, 6]
1 [51, 117, 135]
1 [51, 6, 135]
1 [117, 6, 135]
1 [119, 9, 43]
1 [119, 9, 158]
1 [119, 9, 95]
1 [119, 43, 158]
1 [119, 43, 95]
1 [119, 158, 95]
1 [9, 43, 158]
1 [9, 43, 95]
1 [9, 158, 95]
1 [43, 158, 95]
1 [28, 51, 155]
1 [28, 51, 117]
1 [28, 51, 100]
1 [28, 155, 117]
1 [28, 155, 100]
1 [28, 117, 100]
1 [51, 155, 117]
1 [51, 155, 100]
1 [51, 117, 100]
1 [155, 117, 100]
1 [3, 68, 91]
1 [3, 68, 44]
1 [3, 68, 134]
1 [3, 91, 44]
1 [3, 91, 134]
1 [3, 44, 134]
1 [68, 91, 44]
1 [68, 91, 134]
1 [68, 44, 134]
1 [91, 44, 134]
1 [47, 19, 147]
1 [47, 19, 109]
1 [47, 19, 77]
1 [47, 147, 109]
1 [47, 147, 77]
1 [47, 109, 77]
1 [19, 147, 109]
1 [19, 147, 77]
1 [19, 109, 77]
1 [147, 109, 77]
1 [72, 131, 157]
1 [72, 131, 6]
1 [72, 131, 135]
1 [72, 157, 6]
1 [72, 157, 135]
1 [72, 6, 135]
1 [131, 157, 6]
1 [131, 157, 135]
1 [131, 6, 135]
1 [157, 6, 135]
1 [26, 107, 139]
1 [26, 107, 77]
1 [26, 107, 109]
1 [26, 139, 77]
1 [26, 139, 109]
1 [26, 77, 109]
1 [107, 139, 77]
1 [107, 139, 109]
1 [107, 77, 109]
1 [139, 77, 109]
1 [72, 120, 157]
1 [72, 120, 6]
1 [72, 120, 135]
1 [72, 157, 6]
1 [72, 157, 135]
1 [72, 6, 135]
1 [120, 157, 6]
1 [120, 157, 135]
1 [120, 6, 135]
1 [157, 6, 135]
1 [104, 57, 140]
1 [104, 57, 148]
1 [104, 57, 100]
1 [104, 140, 148]
1 [104, 140, 100]
1 [104, 148, 100]
1 [57, 140, 148]
1 [57, 140, 100]
1 [57, 148, 100]
1 [140, 148, 100]
1 [26, 139, 109]
1 [26, 139, 77]
1 [26, 139, 159]
1 [26, 109, 77]
1 [26, 109, 159]
1 [26, 77, 159]
1 [139, 109, 77]
1 [139, 109, 159]
1 [139, 77, 159]
1 [109, 77, 159]
1 [152, 59, 27]
1 [152, 59, 124]
1 [152, 59, 163]
1 [152, 27, 124]
1 [152, 27, 163]
1 [152, 124, 163]
